solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);3630735793;sat_asp_4_120_24624_0.85_2.lparse.bz2;0;300;0;0;300;0.0;97008;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_3394_0.85_10.lparse.bz2;0;300;0;0;300;0.0;96992;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_4426_0.85_7.lparse.bz2;0;300;0;0;300;0.0;93648;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_7695_0.85_9.lparse.bz2;0;300;0;0;300;0.0;21912832;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_120_8179_0.85_1.lparse.bz2;0;300;0;0;300;0.0;21912848;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_14330_0.85_3.lparse.bz2;0;300;0;0;300;0.0;108624;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_18440_0.85_7.lparse.bz2;0;300;0;0;300;0.0;21913120;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_19403_0.85_4.lparse.bz2;0;300;0;0;300;0.0;21913024;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_19930_0.85_6.lparse.bz2;0;300;0;0;300;0.0;21913120;18;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_20041_0.85_8.lparse.bz2;0;300;0;0;300;0.0;110496;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_20232_0.85_5.lparse.bz2;0;300;0;0;300;0.0;21913200;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_20841_0.85_1.lparse.bz2;0;300;0;0;300;0.0;21912960;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_25922_0.85_9.lparse.bz2;0;300;0;0;300;0.0;111312;26;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_31495_0.85_2.lparse.bz2;0;300;0;0;300;0.0;109072;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_140_450_0.85_10.lparse.bz2;0;300;0;0;300;0.0;109664;29;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_13463_0.85_5.lparse.bz2;0;300;0;0;300;0.0;121984;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_20105_0.85_2.lparse.bz2;0;300;0;0;300;0.0;122128;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_20553_0.85_9.lparse.bz2;0;300;0;0;300;0.0;121904;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_21918_0.85_8.lparse.bz2;0;300;0;0;300;0.0;21913328;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_23128_0.85_6.lparse.bz2;0;300;0;0;300;0.0;21913232;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_23525_0.85_4.lparse.bz2;0;300;0;0;300;0.0;21912960;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_26908_0.85_1.lparse.bz2;0;300;0;0;300;0.0;21913008;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_2751_0.85_7.lparse.bz2;0;300;0;0;300;0.0;21912880;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_6715_0.85_10.lparse.bz2;0;300;0;0;300;0.0;124272;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_160_9918_0.85_3.lparse.bz2;0;300;0;0;300;0.0;122176;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_11054_0.85_1.lparse.bz2;0;300;0;0;300;0.0;136592;27;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_12733_0.85_10.lparse.bz2;0;300;0;0;300;0.0;136432;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_18339_0.85_7.lparse.bz2;0;300;0;0;300;0.0;137344;26;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_22171_0.85_3.lparse.bz2;0;300;0;0;300;0.0;21912880;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_25026_0.85_9.lparse.bz2;0;300;0;0;300;0.0;136768;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_25602_0.85_8.lparse.bz2;0;300;0;0;300;0.0;137440;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_3920_0.85_5.lparse.bz2;0;300;0;0;300;0.0;135872;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_4017_0.85_2.lparse.bz2;0;300;0;0;300;0.0;21913088;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_4084_0.85_4.lparse.bz2;0;300;0;0;300;0.0;134928;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_180_8202_0.85_6.lparse.bz2;0;300;0;0;300;0.0;21913392;19;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_11923_0.85_1.lparse.bz2;0;300;0;0;300;0.0;149920;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_16592_0.85_6.lparse.bz2;0;300;0;0;300;0.0;149840;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_17772_0.85_7.lparse.bz2;0;300;0;0;300;0.0;21913376;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_19723_0.85_3.lparse.bz2;0;300;0;0;300;0.0;149312;25;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_20006_0.85_5.lparse.bz2;0;300;0;0;300;0.0;150096;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_20485_0.85_4.lparse.bz2;0;300;0;0;300;0.0;151744;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_2347_0.85_8.lparse.bz2;0;300;0;0;300;0.0;149920;27;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_26545_0.85_2.lparse.bz2;0;300;0;0;300;0.0;149632;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_9129_0.85_10.lparse.bz2;0;300;0;0;300;0.0;0;0;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_200_9931_0.85_9.lparse.bz2;0;300;0;0;300;0.0;21913424;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_13535_0.85_10.lparse.bz2;0;300;0;0;300;0.0;159728;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_15219_0.85_7.lparse.bz2;0;300;0;0;300;0.0;21912752;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_15716_0.85_8.lparse.bz2;0;300;0;0;300;0.0;21912720;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_20179_0.85_4.lparse.bz2;0;300;0;0;300;0.0;161840;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_23522_0.85_5.lparse.bz2;0;300;0;0;300;0.0;161648;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_25139_0.85_3.lparse.bz2;0;300;0;0;300;0.0;21912480;20;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_2807_0.85_6.lparse.bz2;0;300;0;0;300;0.0;165360;26;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_28425_0.85_2.lparse.bz2;0;300;0;0;300;0.0;166784;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_3646_0.85_9.lparse.bz2;0;300;0;0;300;0.0;165424;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_220_8365_0.85_1.lparse.bz2;0;300;0;0;300;0.0;165376;21;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_14286_0.85_7.lparse.bz2;0;300;0;0;300;0.0;183792;28;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_14872_0.85_6.lparse.bz2;0;300;0;0;300;0.0;183920;23;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_16232_0.85_1.lparse.bz2;0;300;0;0;300;0.0;175904;22;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_18201_0.85_4.lparse.bz2;0;300;0;0;300;0.0;182624;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_20008_0.85_3.lparse.bz2;0;300;0;0;300;0.0;175744;24;0;1;0
DynASP;(PRIM);3630735793;sat_asp_4_240_21667_0.85_8.lparse.bz2;0;300;0;0;300;0.0;177040;23;0;1;0
