solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(INC);0;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.08;0.02;0.04;0.15;0.0;22320;7;10;0;0
DynASP;(INC);1881060079;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.07;0.02;0.04;0.14;0.0;21184;7;10;0;0
DynASP;(INC);2156980077;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.05;0.01;0.05;0.12;0.0;21808;7;10;0;0
DynASP;(INC);2460733895;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.06;0.02;0.04;0.12;0.0;22256;7;10;0;0
DynASP;(INC);2987179023;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.05;0.02;0.05;0.13;0.0;20240;7;10;0;0
DynASP;(INC);3025012838;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.05;0.02;0.05;0.12;0.0;21872;7;10;0;0
DynASP;(INC);3630735793;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.06;0.01;0.06;0.14;0.0;19936;7;10;0;0
DynASP;(INC);4176834253;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.06;0.01;0.05;0.13;0.0;20864;7;10;0;0
DynASP;(INC);554563280;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.06;0.02;0.04;0.12;0.0;20896;7;10;0;0
DynASP;(INC);600817034;vertex_cover.lp_A02.lparse.undirected.bz2;4;0.05;0.01;0.05;0.13;0.0;19808;7;10;0;0
DynASP;(PRIM);0;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.05;0.04;0.13;0.0;17392;5;20;0;0
DynASP;(PRIM);1881060079;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.06;0.04;0.14;0.0;17392;5;20;0;0
DynASP;(PRIM);2156980077;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.05;0.07;0.04;0.18;0.0;17408;5;20;0;0
DynASP;(PRIM);2460733895;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.05;0.04;0.12;0.0;17392;5;20;0;0
DynASP;(PRIM);2987179023;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.04;0.05;0.12;0.0;17408;5;20;0;0
DynASP;(PRIM);3025012838;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.05;0.05;0.12;0.0;17392;5;20;0;0
DynASP;(PRIM);3630735793;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.06;0.05;0.14;0.0;17392;5;20;0;0
DynASP;(PRIM);4176834253;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.04;0.05;0.12;0.0;17376;5;20;0;0
DynASP;(PRIM);554563280;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.05;0.05;0.12;0.0;17408;5;20;0;0
DynASP;(PRIM);600817034;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.05;0.04;0.12;0.0;17392;5;20;0;0
DynASP;(INVPRIM);0;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.05;0.05;0.16;0.0;17440;5;20;0;0
DynASP;(INVPRIM);1881060079;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.06;0.04;0.15;0.01;17440;5;20;0;0
DynASP;(INVPRIM);2156980077;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.04;0.05;0.14;0.01;17456;5;20;0;0
DynASP;(INVPRIM);2460733895;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.05;0.04;0.06;0.16;0.0;17440;5;20;0;0
DynASP;(INVPRIM);2987179023;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.05;0.05;0.15;0.0;17456;5;20;0;0
DynASP;(INVPRIM);3025012838;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.05;0.04;0.14;0.0;17456;5;20;0;0
DynASP;(INVPRIM);3630735793;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.04;0.05;0.14;0.0;17456;5;20;0;0
DynASP;(INVPRIM);4176834253;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.05;0.05;0.13;0.0;17456;5;20;0;0
DynASP;(INVPRIM);554563280;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.05;0.04;0.14;0.0;17472;5;20;0;0
DynASP;(INVPRIM);600817034;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.04;0.05;0.14;0.0;17456;5;20;0;0
DynASP;(INC);0;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.02;0.05;0.1;0.0;17424;5;20;0;0
DynASP;(INC);1881060079;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.04;0.04;0.07;0.16;0.0;17440;5;20;0;0
DynASP;(INC);2156980077;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.01;0.05;0.09;0.01;17648;5;20;0;0
DynASP;(INC);2460733895;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.01;0.05;0.09;0.0;17472;5;20;0;0
DynASP;(INC);2987179023;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.03;0.04;0.11;0.0;17552;5;20;0;0
DynASP;(INC);3025012838;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.04;0.04;0.11;0.01;17424;5;20;0;0
DynASP;(INC);3630735793;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.01;0.05;0.1;0.0;17568;5;20;0;0
DynASP;(INC);4176834253;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.03;0.01;0.05;0.1;0.0;17536;5;20;0;0
DynASP;(INC);554563280;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.03;0.04;0.09;0.01;17488;5;20;0;0
DynASP;(INC);600817034;vertex_cover.lp_A95.lparse.undirected.bz2;223;0.02;0.01;0.05;0.09;0.0;17488;5;20;0;0
DynASP;(PRIM);0;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.0;0.01;0.02;0.04;0.0;15712;4;10;0;0
DynASP;(PRIM);1881060079;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.05;0.0;15696;4;10;0;0
DynASP;(PRIM);2156980077;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.0;0.02;0.01;0.05;0.0;15712;4;10;0;0
DynASP;(PRIM);2460733895;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.02;0.06;0.0;15712;4;10;0;0
DynASP;(PRIM);2987179023;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15712;4;10;0;0
DynASP;(PRIM);3025012838;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15696;4;10;0;0
DynASP;(PRIM);3630735793;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.04;0.0;15712;4;10;0;0
DynASP;(PRIM);4176834253;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.0;0.03;0.02;0.06;0.0;15728;4;10;0;0
DynASP;(PRIM);554563280;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.06;0.0;15728;4;10;0;0
DynASP;(PRIM);600817034;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15712;4;10;0;0
DynASP;(INVPRIM);0;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.0;0.02;0.02;0.05;0.0;15776;4;10;0;0
DynASP;(INVPRIM);1881060079;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15760;4;10;0;0
DynASP;(INVPRIM);2156980077;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15872;4;10;0;0
DynASP;(INVPRIM);2460733895;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15776;4;10;0;0
DynASP;(INVPRIM);2987179023;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.01;0.02;0.05;0.0;15760;4;10;0;0
DynASP;(INVPRIM);3025012838;vertex_cover.lp_B01.lparse.undirected.bz2;3;0.01;0.02;0.01;0.04;0.0;15776;4;10;0;0
