solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;0
DynASP;(PRIM);3630735793;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.15;0.20;0.20;0.55;0.0;22272;6;0;0;0
DynASP;(PRIM);4176834253;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.13;0.19;0.24;0.58;0.0;21568;6;0;0;0
DynASP;(PRIM);554563280;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.11;0.19;0.21;0.53;0.0;21568;6;0;0;0
DynASP;(PRIM);600817034;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.12;0.19;0.24;0.55;0.01;21536;6;0;0;0
DynASP;(INVPRIM);0;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.16;0.20;0.20;0.57;0.0;21568;6;0;0;0
DynASP;(INVPRIM);1881060079;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.16;0.20;0.20;0.57;0.0;21568;6;0;0;0
DynASP;(INVPRIM);2156980077;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.16;0.21;0.21;0.59;0.01;21520;6;0;0;0
DynASP;(INVPRIM);2460733895;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.23;0.21;0.6;0.0;21568;6;0;0;0
DynASP;(INVPRIM);2987179023;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.19;0.19;0.54;0.0;21568;6;0;0;0
DynASP;(INVPRIM);3025012838;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.13;0.19;0.20;0.55;0.0;21568;6;0;0;0
DynASP;(INVPRIM);3630735793;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.15;0.19;0.21;0.56;0.01;21568;6;0;0;0
DynASP;(INVPRIM);4176834253;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.17;0.23;0.30;0.71;0.0;21616;6;0;0;0
DynASP;(INVPRIM);554563280;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.31;0.21;0.68;0.0;21568;6;0;0;0
DynASP;(INVPRIM);600817034;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.15;0.20;0.19;0.55;0.0;21568;6;0;0;0
DynASP;(INC);0;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.07;0.20;0.42;0.0;22320;6;0;0;0
DynASP;(INC);1881060079;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.06;0.19;0.4;0.0;22384;6;0;0;0
DynASP;(INC);2156980077;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.2;0.07;0.21;0.5;0.0;23104;6;0;0;0
DynASP;(INC);2460733895;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.13;0.06;0.19;0.4;0.0;22464;6;0;0;0
DynASP;(INC);2987179023;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.13;0.08;0.19;0.41;0.01;22688;6;0;0;0
DynASP;(INC);3025012838;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.06;0.20;0.42;0.0;22848;6;0;0;0
DynASP;(INC);3630735793;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.15;0.06;0.21;0.44;0.0;22848;6;0;0;0
DynASP;(INC);4176834253;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.14;0.09;0.21;0.46;0.0;21888;6;0;0;0
DynASP;(INC);554563280;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.16;0.07;0.19;0.42;0.01;22608;6;0;0;0
DynASP;(INC);600817034;vertex_cover_better.lp_C95.lparse.undirected.bz2;5431103;0.19;0.06;0.25;0.5;0.0;23232;6;0;0;0
DynASP;(PRIM);0;vertex_cover_better.lp_C99.lparse.undirected.bz2;33031659090;0.17;0.23;0.24;0.64;0.0;33184;6;0;0;0
