solver;algorithm;seed;instance;count;internal_runtm;hyper_time;decomp_time;solve_user_runtm;solve_sys_runtm;solve_mem;width;opt_weight;timeout;non_opt_models
Clas;p;0;qsat_asp_3_20_686_0.65_0.30_3.lparse.bz2;84;0.006;0;0;0.01;0.0;8992;0;0;0;8422
Clas;p;0;qsat_asp_3_20_8295_0.65_0.15_5.lparse.bz2;4461336;19.685;0;0;17.94;1.73;8896;0;0;0;4461336
Clas;p;0;qsat_asp_3_20_8664_0.45_0.15_10.lparse.bz2;97415136;132.736;0;0;132.62;0.0;8432;0;0;0;97415136
Clas;p;0;qsat_asp_3_25_10119_0.45_0.15_9.lparse.bz2;52073399+;300;0;0;300;0.0;8768;0;0;1;52073399+7614
Clas;p;0;qsat_asp_3_25_13896_0.65_0.15_10.lparse.bz2;8788080;44.285;0;0;41.08;3.18;9104;0;0;0;8788080
Clas;p;0;qsat_asp_3_25_16653_0.45_0.15_3.lparse.bz2;43146290+;300;0;0;300;0.0;8912;0;0;1;43146290+152082
Clas;p;0;qsat_asp_3_25_1735_0.45_0.30_8.lparse.bz2;16848;0.096;0;0;0.08;0.01;9088;0;0;0;1684897
Clas;p;0;qsat_asp_3_25_18789_0.45_0.15_8.lparse.bz2;44954296+;300;0;0;300;0.0;8880;0;0;1;44954296+22
Clas;p;0;qsat_asp_3_25_18795_0.85_0.15_5.lparse.bz2;47216829+;300;0;0;300;0.0;9040;0;0;1;47216829+3189413
Clas;p;0;qsat_asp_3_25_19262_0.45_0.35_5.lparse.bz2;2592;0.032;0;0;0.02;0.0;8992;0;0;0;2592174
Clas;p;0;qsat_asp_3_25_20254_0.45_0.30_7.lparse.bz2;5694000;27.564;0;0;25.49;2.06;8960;0;0;0;56940009329
Clas;p;0;qsat_asp_3_25_20372_0.65_0.15_2.lparse.bz2;37665987+;300;0;0;300;0.0;8992;0;0;1;37665987+36287
Clas;p;0;qsat_asp_3_25_2132_0.85_0.15_9.lparse.bz2;7058136;29.168;0;0;26.9;2.25;9136;0;0;0;705813651
Clas;p;0;qsat_asp_3_25_21827_0.45_0.15_5.lparse.bz2;57136958+;300;0;0;300;0.0;8800;0;0;1;57136958+64997
Clas;p;0;qsat_asp_3_25_22894_0.45_0.30_1.lparse.bz2;169632;1.14;0;0;1.06;0.08;9008;0;0;0;169632
Clas;p;0;qsat_asp_3_25_22895_0.45_0.15_10.lparse.bz2;55372075+;300;0;0;300;0.0;8816;0;0;1;55372075+4
Clas;p;0;qsat_asp_3_25_30342_0.95_0.15_7.lparse.bz2;75007058+;300;0;0;300;0.0;8992;0;0;1;75007058+43
Clas;p;0;qsat_asp_3_25_30732_0.45_0.15_6.lparse.bz2;50076854+;300;0;0;300;0.0;8832;0;0;1;50076854+48
Clas;p;0;qsat_asp_3_25_8966_0.85_0.15_1.lparse.bz2;1056456;8.094;0;0;7.66;0.42;9040;0;0;0;10564566783
Clas;p;0;qsat_asp_3_25_9651_0.65_0.15_3.lparse.bz2;6996528;31.818;0;0;28.83;2.95;9072;0;0;0;6996528
Clas;p;0;qsat_asp_3_30_11880_0.45_0.15_4.lparse.bz2;62079420+;300;0;0;300;0.0;8880;0;0;1;62079420+163
Clas;p;0;qsat_asp_3_30_13174_0.45_0.15_8.lparse.bz2;55368467+;300;0;0;300;0.0;8912;0;0;1;55368467+12
Clas;p;0;qsat_asp_3_30_13671_0.65_0.15_3.lparse.bz2;38919376+;300;0;0;300;0.0;9232;0;0;1;38919376+115942
